,NKY Index,SHSZ300 Index,SX5E Index,INDU Index,KS
2021-01-20,1.9248223,1.3620533,1.0972388,1.1153864,2.1861658
2021-01-21,2.0036592,1.3650049,1.0890565,1.1222745,2.1761508
2021-01-22,2.0726342,1.3664005,1.0773846,1.1151757,2.1628778
2021-01-25,2.1101477,1.366518,1.0678136,1.1040225,2.1617713
2021-01-26,2.0751529,1.3462694,1.0608945,1.0975882,2.0847716
2021-01-27,2.0780365,1.3187144,1.0490203,1.068281,2.034436
2021-01-28,2.0006397,1.2602386,1.0434645,1.0538259,1.9565189
2021-01-29,1.8663656,1.234568,1.0310683,1.0219909,1.85364
2021-02-01,1.7923182,1.2233632,1.0262736,1.0085907,1.828186
2021-02-02,1.7272413,1.2251375,1.026251,1.0023421,1.802345
2021-02-03,1.71291,1.1949309,1.0264091,0.99097264,1.7784374
2021-02-04,1.6542553,1.143416,1.0277799,0.98830223,1.7223421
2021-02-05,1.6457132,1.1093858,1.0280085,0.985796,1.6972523
2021-02-08,1.6440916,1.076651,1.0338815,0.9870857,1.63521
2021-02-09,1.6430522,1.097185,1.0345145,0.9848584,1.602714
2021-02-10,1.631461,1.1179049,1.0331199,1.0003515,1.575168
2021-02-18,1.6991109,1.1396403,1.035014,1.0055286,1.546085
2021-02-19,1.7553014,1.1646836,1.0412941,1.0267991,1.5441395
2021-02-22,1.7986976,1.1433005,1.0443871,1.0393078,1.5050769
2021-02-24,1.7847046,1.0981724,1.047411,1.0535812,1.4374716
2021-02-25,1.7969917,1.064599,1.0462568,1.0482633,1.4043124
2021-02-26,1.7331953,1.0099416,1.0398974,1.0291069,1.3433068
2021-03-02,1.6909608,0.96758187,1.0395654,1.028398,1.3006891
2021-03-03,1.6221019,0.92848134,1.0405403,1.0175174,1.2667215
2021-03-04,1.5311255,0.87698287,1.0387521,1.0029324,1.2056247
2021-03-05,1.4474576,0.82256883,1.0377634,1.0064248,1.1548244
2021-03-08,1.340047,0.7762066,1.0442994,1.0105873,1.1025132
2021-03-09,1.2884376,0.75055254,1.0529264,1.0180932,1.0504756
2021-03-10,1.2248104,0.72588474,1.0671402,1.0332882,1.0114975
2021-03-11,1.1943944,0.7181518,1.080875,1.037462,0.9975852
